collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,8b2e5453-faf7-46ea-9073-aea69b283cb7,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Human Cells,peripheral zone of prostate;transition zone of prostate,normal;benign prostatic hyperplasia,prostate gland,Homo sapiens
Human Brain Cell Atlas v1.0,5a73f63f-18a2-49b5-b431-2c469c41a41b,Dissection: Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,thalamic complex,normal,brain,Homo sapiens
Tabula Sapiens,a0754256-f44b-4c4a-962c-a552e47d3fdc,Tabula Sapiens - Eye,eye,normal,eye,Homo sapiens
Tabula Muris Senis,0fb7916e-7a68-4a4c-a441-3ab3989f29a7,Lung - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,lung,normal,lung,Mus musculus
Human Brain Cell Atlas v1.0,93131426-0124-4ab4-a013-9dfbcd99d467,Dissection: Epithalamus - ETH,thalamic complex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,9372df2d-13d6-4fac-980b-919a5b7eb483,Dissection: Midbrain (M) - Periaqueductal gray and nearby nuclei - PAG,midbrain,normal,brain,Homo sapiens
Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,01209dce-3575-4bed-b1df-129f57fbc031,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,lower lobe of left lung;bone marrow;bronchopulmonary lymph node;venous blood,normal,lung;bone marrow;lymph node;blood,Homo sapiens
Human Brain Cell Atlas v1.0,d6a5b240-cc8f-45c1-ad36-2fc291e15e8e,Dissection: Midbrain (M) - Pretectal region - PTR,midbrain,normal,brain,Homo sapiens
A spatially resolved single cell genomic atlas of the adult human breast,a6388a6f-6076-401b-9b30-7d4306a20035,scRNA-seq data - myeloid cells,breast,normal,breast,Homo sapiens
Human Brain Cell Atlas v1.0,095940cb-7422-4510-96e2-cbafd961eb88,Dissection: Cerebellum (CB) - Cerebellar deep nuclei - CbDN,cerebellum,normal,brain,Homo sapiens
Mouse perinatal heart maturation scRNA-seq,731e0ae7-e600-470f-a6dc-8c35c28d6c3d,Mouse perinatal heart maturation scRNA-seq,heart,normal,heart,Mus musculus
Pediatric FGID lamina propria of ileum biopsies.,6ceeaa86-9ceb-4582-b390-6d4dd6ff0572,3-prime FGID data,lamina propria of small intestine,digestive system disorder,small intestine,Homo sapiens
Human Brain Cell Atlas v1.0,7d3ab174-e433-40fc-a352-6fe71b1a19f9,Dissection: Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,dd03ce70-3243-4c96-9561-330cc461e4d7,Dissection: Cerebral cortex (Cx) - Perirhinal gyrus (PRG) - A35-A36,cerebral cortex,normal,brain,Homo sapiens
Dysregulation of brain and choroid plexus cell types in severe COVID-19,595c9010-99ec-462d-b6a1-2b2fe5407871,"A total of 27,092 droplet-based single-nucleus transcriptomes profiled across 11 cell types in the choroid plexus",choroid plexus,aspiration pneumonia;malignant pancreatic neoplasm;COVID-19;influenza,brain,Homo sapiens
Human Brain Cell Atlas v1.0,5e5ab909-f73f-4b57-98a0-6d2c5662f6a4,Dissection: Midbrain (M) - Inferior colliculus and nearby nuclei - IC,midbrain,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,4724c395-0c46-46d2-81f7-60fd271fb488,Dissection: Head of hippocampus (HiH) - Uncal DG-CA4,hippocampal formation,normal,brain,Homo sapiens
A single-cell atlas of the aging mouse ovary,7e1fbe6b-1a4a-4c4d-a786-313049f97c69,Aging mouse ovary: Stromal cells,ovary,normal,ovary,Mus musculus
Human Brain Cell Atlas v1.0,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,"Dissection: Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",cerebral cortex,normal,brain,Homo sapiens
Tabula Muris Senis,db55b719-6102-493a-9251-404bc501d0de,Bone marrow - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,bone marrow,normal,bone marrow,Mus musculus
Spatiotemporal immune zonation of the human kidney,d7dcfd8f-2ee7-4385-b9ac-e074c23ed190,Fetal kidney dataset: full,kidney,normal,kidney,Homo sapiens
Cellular development and evolution of the mammalian cerebellum,72eb2332-b308-4014-8d25-95233a9aff1e,snRNA-seq data for mouse cerebella from 9-12 developmental stages,cerebellum;cerebellar hemisphere,normal,brain,Mus musculus
Emphysema Cell Atlas,1e5bd3b8-6a0e-4959-8d69-cafed30fe814,immune cells,alveolus of lung,normal;pulmonary emphysema,lung,Homo sapiens
Tabula Muris Senis,b8c618e5-4b3d-4566-8a3f-7e40047f5c54,Kidney - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,kidney,normal,kidney,Mus musculus
Human Brain Cell Atlas v1.0,182f6a56-7360-4924-a74e-1772e07b3031,Dissection: Body of hippocampus (HiB) - Rostral CA1-CA3,hippocampal formation,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,367b55f4-d543-49aa-90e8-4765fcb8c687,Dissection: Thalamus (THM) - intralaminar nuclear complex (ILN) - posterior group of intralaminar nuclei (PILN) - centromedian and parafasicular nuclei - CM and Pf,thalamic complex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,fa554686-fc07-44dd-b2de-b726d82d26ec,Dissection: Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,cerebral cortex,normal,brain,Homo sapiens
LungMAP — Human data from a broad age healthy donor group,3de0ad6d-4378-4f62-b37b-ec0b75a50d94,Single-cell multiomic profiling of human lungs across age groups,lung,normal,lung,Homo sapiens
A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells,de985818-285f-4f59-9dbd-d74968fddba3,A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells,upper outer quadrant of breast,normal,breast,Homo sapiens
Single cell derived mRNA signals across human kidney tumors,a51c6ece-5731-4128-8c1e-5060e80c69e4,fetal,kidney,normal,kidney,Homo sapiens
Human Brain Cell Atlas v1.0,1cf24082-59de-4029-ac81-6e398768af3a,Dissection: Cerebral cortex (Cx) - Inferior temporal gyrus - ITG,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,64f4ad90-a422-400a-944d-4ce0f39594a7,Dissection: Pons (Pn) - Pontine Nucleus - PN,pons,normal,brain,Homo sapiens
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells,2f132ec9-24b5-422f-9be0-ccef03b4fe28,Lung,lung,normal,lung,Homo sapiens
Tabula Sapiens,ff45e623-7f5f-46e3-b47d-56be0341f66b,Tabula Sapiens - Pancreas,exocrine pancreas,normal,pancreas,Homo sapiens
Multiomic Profiling of Human Clonal Hematopoiesis Reveals Genotype and Cell-Specific Inflammatory Pathway Activation,19e46756-9100-4e01-8b0e-23b557558a4c,Single Cell Sequencing of Human PBMCs in Clonal Hematopoeisis of Indeterminant Potential,blood,clonal hematopoiesis;normal,blood,Homo sapiens
Human Brain Cell Atlas v1.0,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,"Dissection: Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF",cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,db1d2c1b-2ee1-45d5-9d53-69a327cd77e6,Dissection: Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,e5b1115b-a486-49bb-bda3-8261822836e0,Dissection: Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23,cerebral cortex,normal,brain,Homo sapiens
Tabula Sapiens,e6a11140-2545-46bc-929e-da243eed2cae,Tabula Sapiens - Heart,cardiac atrium;cardiac ventricle,normal,heart,Homo sapiens
Human Brain Cell Atlas v1.0,20980d73-7c53-4039-b852-b76a01566d5a,Dissection: Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,cerebral cortex,normal,brain,Homo sapiens
Tabula Sapiens,d77ec7d6-ef2e-49d6-9e79-05b7f8881484,Tabula Sapiens - Prostate,prostate gland,normal,prostate gland,Homo sapiens
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,d622cee4-56e1-44ba-8b05-fd2f0f2032e6,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types: SMARTer_cells_MOp,primary motor cortex,normal,brain,Mus musculus
Tabula Muris Senis,a7ace090-1ba1-47f2-8def-6e11298b7816,Limb muscle - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,limb muscle,normal,musculature,Mus musculus
Human Brain Cell Atlas v1.0,ed33c203-233a-476a-a56b-28da945fdd32,"Dissection: Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",cerebral cortex,normal,brain,Homo sapiens
Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution,f512b8b6-369d-4a85-a695-116e0806857f,Skin,skin of prepuce of penis;skin of trunk;skin of scalp,normal,skin of body,Homo sapiens
Protracted Neuronal Recruitment in the Temporal Lobe of Young Children,72822932-10f6-466f-baf3-a2c1d89364bc,Interneuron maturation in the human entorhinal cortex,entorhinal cortex;ganglionic eminence,normal,brain;embryo,Homo sapiens
Human Brain Cell Atlas v1.0,9ec34295-ab16-47e2-af33-b884143e520b,"Dissection: Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",midbrain,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,70e4f35b-c98c-45a1-9aa9-2053b07315dd,Dissection: Basal forebrain (BF) - septal nuclei - SEP,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,5bc23cb2-8cfc-4960-bab1-c3027fbeefc4,Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma) - mammillary nucleus - MN,hypothalamus,normal,brain,Homo sapiens
Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,821a8e3e-87ec-41ee-bd69-cd4377057d38,snRNA-seq of human subcutaneous adipose tissue - all cells,subcutaneous adipose tissue,normal,adipose tissue,Homo sapiens
Human Brain Cell Atlas v1.0,88a01d4a-5197-45be-b5ae-e019aef43376,Dissection: Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,e8681d74-ac9e-4be5-be14-1cf1bbd54dd7,Dissection: Thalamus (THM) - Anterior nuclear complex - ANC,thalamic complex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,Dissection: Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,f502c312-05dc-4fd4-a762-92a63e92b539,Dissection: Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,1b767f95-d0a0-4a3d-b394-cc665d86c3dc,Dissection: Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,19b21f40-db42-4a71-a0d6-913e83b17784,Dissection: Head of hippocampus (HiH) - Tail of Hippocampus (HiT) - Subicular cortex - Sub,hippocampal formation,normal,brain,Homo sapiens
Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH,fa8605cf-f27e-44af-ac2a-476bee4410d3,PBMCs,blood,COVID-19;normal,blood,Homo sapiens
Human Brain Cell Atlas v1.0,3f56901c-dd4a-47d6-b60b-7b0c0111cfb2,Dissection: Head of hippocampus (HiH) - Uncal CA1-CA3,hippocampal formation,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,18500fcd-9960-49cb-8a8e-7d868dc14efe,Dissection: Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,cerebral nuclei,normal,brain,Homo sapiens
Cellular heterogeneity of human fallopian tubes in normal and hydrosalpinx disease states identified by scRNA-seq,03c544fb-a103-4d18-9230-eae9cfee3af2,scRNA-seq analysis of stromal cells of healthy human fallopian tubes,fimbria of fallopian tube;ampulla of fallopian tube;isthmus of fallopian tube;fallopian tube,normal,fallopian tube,Homo sapiens
A single-cell atlas of human and mouse white adipose tissue,138423b0-4fde-47d2-acac-c2de8082a152,A Single-Cell Atlas of Mouse White Adipose Tissue - Mouse immune cells,inguinal fat pad;periovarian fat pad;epididymal fat pad,normal,adipose tissue,Mus musculus
Single-cell and spatial mapping Identify cell types and signaling Networks in the human ureter,3e524d45-2265-4440-b903-3c30d51a0b17,Human adult ureter,ureter,normal,ureter,Homo sapiens
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,2aef80da-acb4-4e15-8f7d-6c0322b86b2f,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Mouse Cells,prostate gland;urethra,normal,prostate gland;urethra,Mus musculus
Tabula Sapiens,55cf0ea3-9d2b-4294-871e-bb4b49a79fc7,Tabula Sapiens - Tongue,anterior part of tongue,normal,tongue,Homo sapiens
Human Brain Cell Atlas v1.0,40318d39-3d8f-49f4-8455-a2e1365c5c5b,Dissection: Basal nuclei (BN) - Nucleus Accumbens - NAC,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,489eaa11-c119-4a5f-b44b-81e33c80c0ef,Dissection: Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,7c1c3d47-3166-43e5-9a95-65ceb2d45f78,Dissection: Pons (Pn) - Pontine reticular formation - PnRF,pons,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,4593c820-512d-4805-a10f-c0b864a7cc8c,Dissection: Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM,cerebral nuclei,normal,brain,Homo sapiens
Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,1196334f-a441-474a-95ee-400780941690,Ciliary Body,ciliary body,normal,eye,Homo sapiens
Human Brain Cell Atlas v1.0,715327a6-7978-4896-ba91-69d6b04dbbfb,Dissection: Body of hippocampus (HiB) - Rostral DG-CA4,hippocampal formation,normal,brain,Homo sapiens
Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,e067e5ca-e53e-485f-aa8e-efd5435229c8,Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,cortex of kidney,normal;type 2 diabetes mellitus,kidney,Homo sapiens
Human Brain Cell Atlas v1.0,900fdf13-150d-4695-9f8c-4c09105ba2eb,Dissection: Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN,pons,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,52f18bc3-52d9-487b-bf8f-f0b7aa684b09,Dissection: Midbrain (M) - Substantia Nigra - SN,midbrain,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,d582f63a-3c88-4e38-8cd3-8682dbe40f64,Dissection: Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,acae7679-d077-461c-b857-ee6ccfeb267f,Dissection: Head of hippocampus (HiH) - Uncal CA1,hippocampal formation,normal,brain,Homo sapiens
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,d4cfefa0-3a35-44eb-b848-d7a725b481e7,NSCLC epithelial cells,lung;brain;bone spine;liver;axilla;lymph node;adrenal gland;pleural effusion,normal;lung adenocarcinoma;small cell lung carcinoma,lung;brain;skeletal system;liver;axilla;lymph node;adrenal gland;pleural fluid,Homo sapiens
Tabula Muris Senis,e2b469d4-b5c3-4a35-9d19-ee71ce61cae0,Spleen - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,spleen,normal,spleen,Mus musculus
"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",2672b679-8048-4f5e-9786-f1b196ccfd08,Lung Parenchyma,lung parenchyma,normal,lung,Homo sapiens
Integrated adult and foetal heart single-cell RNA sequencing,5500c673-1610-40a0-86d9-64d987ae50e6,Integrated adult and foetal hearts,apex of heart;basal zone of heart;left cardiac atrium;heart left ventricle;heart right ventricle;right cardiac atrium;interventricular septum,normal,heart,Homo sapiens
Human Brain Cell Atlas v1.0,4976b234-9028-4b4b-8a2f-8ac59d636219,Dissection: Cerebellum (CB) - Cerebellar Vermis - CBV,cerebellum,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,639ffc23-14db-4060-9027-3c90314200f8,Dissection: Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,43b7e156-65b3-4a7b-8c7a-08528e4b21d0,Dissection: Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,cerebral nuclei,normal,brain,Homo sapiens
Single cell and spatial transcriptomics in Sjögren’s Disease-affected Human Salivary Glands,df1edb87-e512-43ae-b5f4-cb179cfc2bb4,scRNA-seq for GZMK+CD8+ T cells Target A Specific Acinar Cell Type in Sjögren’s Disease,labial gland,normal;Sjogren syndrome,exocrine gland,Homo sapiens
Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,b6ee0939-b5b9-4e03-9d69-96fb6bf5d434,Epithelial cells collected from 30 segments across the proximal (1) to distal (30) ends of the human small intestine.,small intestine,normal,small intestine,Homo sapiens
"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",644a578d-ffdc-446b-9679-e7ab4c919c13,Spleen,spleen,normal,spleen,Homo sapiens
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,4c4cd77c-8fee-4836-9145-16562a8782fe,Individual Single-Cell RNA-seq PBMC Data from Lee et al.,blood,COVID-19;normal,blood,Homo sapiens
Human Brain Cell Atlas v1.0,f5a04dff-d394-4023-8811-65494e8bb11d,Dissection: Basal nuclei (BN) - Putamen - Pu,cerebral nuclei,normal,brain,Homo sapiens
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,0e9d47fb-89b1-42d8-b426-2c7630b5f5fa,Airway epithelial cells,lower lobe of left lung;trachea;bronchus;upper lobe of left lung;lung,normal,lung;respiratory system,Homo sapiens
A spatially resolved single cell genomic atlas of the adult human breast,74520626-b0ba-4ee9-86b5-714649554def,scRNA-seq data - T cells,breast,normal,breast,Homo sapiens
Human Brain Cell Atlas v1.0,3f31f8ce-bbf6-4df8-8203-aa240ed03026,"Dissection: Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24",cerebral cortex,normal,brain,Homo sapiens
"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",c05e6940-729c-47bd-a2a6-6ce3730c4919,white matter - all cells,Brodmann (1909) area 4;white matter of cerebellum;cervical spinal cord white matter,normal,brain;central nervous system;spinal cord,Homo sapiens
Human Brain Cell Atlas v1.0,529bb209-9d7b-44da-bfa4-f6e4745c46c2,Dissection: Basal nuclei (BN) - Body of the Caudate - CaB,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,1185a7d3-a9c1-4280-9ba5-d61895b15cac,Dissection: Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,ecd9230d-c571-4dab-abd3-8b54c74833f0,Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul,thalamic complex,normal,brain,Homo sapiens
A cell atlas of human thymic development defines T cell repertoire formation,814f2c97-49e4-4a17-be26-fde3c4c57d1b,Human Stem Cells (LIV and TH) - A cell atlas of human thymic development defines T cell repertoire formation,thymus;liver,normal,endocrine gland;liver,Homo sapiens
Human Brain Cell Atlas v1.0,d288b10a-643e-44bd-b451-96e9588b2ee5,Dissection: Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,cerebral cortex,normal,brain,Homo sapiens
The cellular landscape of breast cancer associated malignant pleural effusions,5d3fc988-765d-48ba-bfb5-151ef2988cac,Figure 1,pleural effusion,luminal A breast carcinoma;triple-negative breast carcinoma;luminal B breast carcinoma,pleural fluid,Homo sapiens
Human Brain Cell Atlas v1.0,d02287f3-408b-438d-9131-999e460cbd0e,Dissection: Paleocortex (PalCx) - Piriform cortex - Pir,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,31f04740-c712-4c4b-a3f8-55c0506b3034,Dissection: Claustrum - Cla,cerebral nuclei,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,46ff9dc2-3d87-4b36-91aa-ffa8aa13c52e,Dissection: Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,cerebral cortex,normal,brain,Homo sapiens
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2d85960a-2ba8-4f54-9aec-537fae839f5d,Myeloid cells,lower lobe of left lung;trachea;bronchus;upper lobe of left lung;lung,normal,lung;respiratory system,Homo sapiens
A human breast atlas integrating single-cell proteomics and transcriptomics,9a64bf99-ebe5-4276-93a8-bee9dff1cd47,Single-Cell RNA Sequencing of Breast Tissues: Cell Subtypes and Cancer Risk Factors,breast,normal,breast,Homo sapiens
Healthy living donor kidney,0bae7ebf-eb54-46a6-be9a-3461cecefa4c,Living donor kidney,cortex of kidney,normal,kidney,Homo sapiens
Human Brain Cell Atlas v1.0,d2514440-d747-4d8d-b2c7-b58ef8b71fbe,Dissection: Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),thalamic complex,normal,brain,Homo sapiens
Tabula Sapiens,a2d4d33e-4c62-4361-b80a-9be53d2e50e8,Tabula Sapiens - Vasculature,vasculature,normal,vasculature,Homo sapiens
Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,a4157949-6f2a-40e2-b960-63f6e2bde918,Central Cornea,cornea,normal,eye,Homo sapiens
Human Brain Cell Atlas v1.0,949ec7fc-ac54-47c9-bb6f-ee9e67688cce,Dissection: Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,cerebral cortex,normal,brain,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,f9846bb4-784d-4582-92c1-3f279e4c6f0c,Fibroblast and smooth muscle,lung,normal,lung,Homo sapiens
Cellular and transcriptional diversity over the course of human lactation,0920bcb8-4b3a-4e9d-a353-56f529fd3b32,Cellular and transcriptional diversity over the course of human lactation,milk,normal,milk,Homo sapiens
Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,2e9d2f32-4cfb-49b5-b990-cbf4c241214e,Single cell RNA-seq of human heart cells,interventricular septum;heart right ventricle;heart left ventricle;apex of heart,normal,heart,Homo sapiens
Human Brain Cell Atlas v1.0,56c33a38-2732-4e53-a9c1-1bc61eda9a99,Dissection: Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0,Dissection: Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,9f499d32-400d-4c42-ac9a-fb1481844fee,Dissection: Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,hippocampal formation,normal,brain,Homo sapiens
COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,bc260987-8ee5-4b6e-8773-72805166b3f7,"T cells -- CV19 infection, vaccination and HC",blood,normal;COVID-19,blood,Homo sapiens
Cross-tissue immune cell analysis reveals tissue-specific features in humans,71be997d-ff75-41b9-8a9f-1288c865f921,B cell compartment,ileum;lung;thoracic lymph node;mesenteric lymph node;bone marrow;skeletal muscle tissue;liver;spleen;omentum;caecum;thymus;duodenum;blood;transverse colon;sigmoid colon;jejunal epithelium;lamina propria,normal,small intestine;lung;lymph node;bone marrow;musculature;liver;spleen;omentum;colon;endocrine gland;blood;lamina propria,Homo sapiens
Human Brain Cell Atlas v1.0,d2b5efc1-14c6-4b5f-bd98-40f9084872d7,Dissection: Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,hippocampal formation,normal,brain,Homo sapiens
Single-cell transcriptome profiling of the human developing spinal cord reveals a conserved genetic programme with human-specific features,b62f728b-a7eb-4889-8162-b3d457de93b9,Combined human neural dataset,neural tube,normal,embryo,Homo sapiens
Human Brain Cell Atlas v1.0,77c1c785-809f-4065-8c54-6a0170783256,Dissection: Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,cerebral cortex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,7b316f62-7fa0-4b95-bac9-e90866038a85,Dissection: Amygdaloid complex (AMY) - Central nuclear group - CEN,cerebral nuclei,normal,brain,Homo sapiens
"Transcriptome Analysis of Archived Tumor Tissues by Visium, GeoMx DSP, and Chromium Methods Reveals Inter- and Intra-Patient Heterogeneity",1e4214ce-7347-4ec7-97b3-fcf7c1938e8b,Lung cancer 4 patients archival FFPE samples profiling with Chromium FLEX,lung parenchyma,lung adenocarcinoma;squamous cell lung carcinoma,lung,Homo sapiens
Human skeletal muscle ageing atlas,bedee313-cbf4-44a5-a0cd-2ca5bb2068dc,Mouse muscle cells and nuclei,hindlimb muscle,normal,musculature,Mus musculus
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,59b69042-47c2-47fd-ad03-d21beb99818f,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,blood,COVID-19;normal,blood,Homo sapiens
Human Brain Cell Atlas v1.0,421e5f54-5de7-425f-b399-34ead0651ce1,Dissection: Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,cerebral cortex,normal,brain,Homo sapiens
A molecular single-cell lung atlas of lethal COVID-19,d8da613f-e681-4c69-b463-e94f5e66847f,A molecular single-cell lung atlas of lethal COVID-19,lung,normal;COVID-19,lung,Homo sapiens
Human Brain Cell Atlas v1.0,a19b218b-1c0a-4618-b41f-7c216c623ec6,Dissection: Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,cerebral cortex,normal,brain,Homo sapiens
Cell-type specific analysis of physiological action of estrogen inmouse oviducts,0f788857-3015-4fb9-912d-2545f2779c07,scRNA-seq data of mouse oviduct collected at the estrus stage,oviduct,normal,reproductive system,Mus musculus
Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,b03e4ef8-4e6b-47f4-84a7-e8ed033d08cd,Lymphoid cells from human liver dataset,liver,normal,liver,Homo sapiens
Human Brain Cell Atlas v1.0,c2aad8fc-b63b-4f9b-9cfd-baf7bc9c1771,Dissection: Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,cerebral cortex,normal,brain,Homo sapiens
Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,9ff99bf8-2524-4ab5-ab6e-4bc218e4a449,Integrated data,ciliary body;cornea;iris;corneo-scleral junction;eye trabecular meshwork,normal,eye,Homo sapiens
